1;Ryan Inc;France;Clermont-Ferrand;14;8;STL;1;48;AxisMillingMachine;AluminiumAlloy;CNCMilling;2019-06-30;2019-06-27
2;Moore-Mueller;France;Perpignan;22;5;3DS;0;91;CNCTurnMachine;Nickel;Drilling;2019-07-13;2018-10-04
3;Blanda, Kemmer and Kuhic;France;Paris 01;45;10;OBJ;1;89;LaserCuttingMachine;AluminiumAlloy;MultiPointCutting;2019-06-13;2018-12-28
4;Smith Inc;Portugal;Louriceira;21;2;STEP;0;67;MachineTool;Nylon;ThreadForming;2019-07-18;2018-11-26
5;Von, Fritsch and Waters;France;Paris 14;29;5;VRML/X3D;1;62;SandDeliveryMachine;Titanium;SandBlasting;2019-07-21;2018-12-05
6;Rolfson-Schumm;Portugal;Estoril;41;1;STL;0;51;ComputerControlledMachineTool;Cotton;ThreadForming;2019-06-23;2019-08-17
7;Murray and Sons;Portugal;Trinaterra;24;4;VRML/X3D;1;96;AxisMillingMachine;AluminiumAlloy;ThermalWelding;2019-07-08;2019-04-28
8;Oberbrunner, Mills and Stark;Portugal;Oliveira;32;6;3DS;1;82;ComputerControlledMachineTool;Silk;ThreadForming;2019-06-26;2018-11-16
9;Dach, Purdy and Baumbach;Portugal;Moutas;48;3;STEP;1;70;CNCTurnMachine;LowCarbonSteel;Drilling;2019-07-01;2019-08-10
10;Deckow-Tremblay;Poland;Lelkowo;17;1;3DS;1;96;CNCTurnMachine;Nickel;HoleMaking;2019-07-18;2019-11-13
