Ryan Inc;France;Clermont-Ferrand;14;8;Machining;IGES;1;549;568;369;47;Iron;Rolling;30.06.2019;27.06.2019;
Moore-Mueller;France;Perpignan;22;5;Machining;VRML/X3D;0;407;690;722;79;Chromium;Blasting;13.07.2019;04.10.2018;
Blanda, Kemmer and Kuhic;France;Paris 01;45;10;Machining;COLLADA;1;632;505;207;52;Tungsten;Sanding;13.06.2019;28.12.2018;
Smith Inc;Portugal;Louriceira;21;2;Machining;IGES;1;243;508;523;29;Chromium;Turning;18.07.2019;26.11.2018;
Von, Fritsch and Waters;France;Paris 14;29;5;Machining;STL;0;412;576;423;45;Tungsten;Rolling;21.07.2019;05.12.2018;
Rolfson-Schumm;Portugal;Estoril;41;1;Machining;STEP;1;489;496;44;82;Nickel alloy;Blasting;23.06.2019;17.08.2019;
Murray and Sons;Portugal;Trinaterra;24;4;Machining;IGES;1;414;562;340;44;Titanium;Rolling;08.07.2019;28.04.2019;
Oberbrunner, Mills and Stark;Portugal;Oliveira;32;6;Machining;3DS;1;483;465;403;93;Nickel alloy;Blasting;26.06.2019;16.11.2018;
Dach, Purdy and Baumbach;Portugal;Moutas;48;3;Machining;FBX;0;495;382;378;63;Nickel alloy;Laser cutting;01.07.2019;10.08.2019;
Deckow-Tremblay;Poland;Lelkowo;17;1;Machining;COLLADA;0;430;387;219;56;Chromium;Chemical curing;18.07.2019;13.11.2019;
Romaguera Group;Spain;Gijon;35;10;Machining;STEP;1;466;738;761;60;Carbon steel;Sanding;22.07.2019;26.04.2019;
Lakin-Miller;Poland;Kwidzyn;30;10;Machining;FBX;1;732;407;490;93;Iron;Polishing;27.06.2019;09.03.2019;
Raynor-Waters;France;Guéret;48;2;Machining;3DS;0;581;543;156;21;Nickel alloy;Blasting;15.06.2019;01.03.2019;
Leffler-Douglas;Portugal;Leitões;45;8;Machining;3DS;0;718;441;353;26;Stainless steel;Turning;05.06.2019;19.06.2019;
Moore and Sons;Portugal;Nogueira da Regedoura;31;10;Machining;IGES;0;272;535;622;91;Stainless steel;Turning;14.07.2019;04.05.2019;
Daugherty, Hilll and Mosciski;France;Marne-la-Vallée;49;9;Machining;VRML/X3D;0;319;511;939;66;Stainless steel;Sanding;29.07.2019;16.03.2019;
Heidenreich-O'Hara;Portugal;Ariz;39;10;Machining;IGES;1;601;422;159;65;Tungsten carbide;Blasting;24.07.2019;14.09.2018;
Mante, Bernier and Rempel;Poland;Baćkowice;36;10;Machining;IGES;0;593;373;451;35;Stainless steel;Rolling;05.07.2019;23.01.2019;
Brown, Ryan and Kutch;Poland;Boniewo;35;2;Machining;STL;1;478;505;321;95;Alloy;Milling;27.06.2019;30.06.2019;
Jones-Reinger;Netherlands;Breda;43;2;Machining;OBJ;0;325;523;593;73;Carbon steel;Sanding;05.06.2019;10.08.2019;
Baumbach, Deckow and Bahringer;Spain;Santander;32;7;Machining;STL;0;302;551;474;32;Stainless steel;Rolling;01.07.2019;01.05.2019;
Rau Group;France;Saint-Priest;20;9;Machining;IGES;1;438;497;453;93;Nickel alloy;Drilling;08.06.2019;13.12.2019;
Connelly Inc;Netherlands;Rotterdam postbusnummers;37;6;Machining;FBX;1;516;608;433;53;Stainless steel;Rolling;07.06.2019;27.08.2019;
Rodriguez, Halvorson and Stanton;Belgium;Namur;25;3;Machining;COLLADA;0;566;570;745;61;Nickel alloy;Laser cutting;26.07.2019;11.01.2019;
Ziemann, Rosenbaum and Labadie;Germany;Würzburg;31;8;Machining;OBJ;0;449;541;518;52;Titanium;Blasting;29.06.2019;24.03.2019;
Haley-Pfannerstill;Poland;Iwkowa;37;7;Machining;3DS;1;548;441;865;54;Nickel alloy;Laser cutting;22.06.2019;26.07.2019;
Greenfelder-Jacobson;France;Lunéville;18;1;Machining;FBX;0;548;442;870;60;Stainless steel;Drilling;24.07.2019;24.11.2018;
