Consumer query:

Ranked results from semantic matching: 
1. Supplier Name: Grant-Becker, Similarity Score: 0.86
Offered Process: LaserBeamCutting, Offered Material: StainlessSteel, Offered Machine: LaserCuttingMachine, Offered Capacity: 125, Certification: ISO9003, Available from-to: 2019-02-01 - 2019-04-15
2. Supplier Name: Schmitt-Volkman, Similarity Score: 0.85
Offered Process: LaserBeamCutting, Offered Material: StainlessSteel_316, Offered Machine: LaserCuttingMachine, Offered Capacity: 150, Certification: ISO9003, Available from-to: 2019-02-01 - 2019-04-15
3. Supplier Name: Mertz-Larkin, Similarity Score: 0.85
Offered Process: LaserBeamCutting, Offered Material: StainlessSteel_302, Offered Machine: LaserCuttingMachine, Offered Capacity: 125, Certification: ISO9001, Available from-to: 2019-02-01 - 2019-04-15
4. Supplier Name: Ferry-Buckridge, Similarity Score: 0.84
Offered Process: CNCTurning, Offered Material: AusteniticStainlessSteel, Offered Machine: CNCTurnMachine, Offered Capacity: 75, Certification: ISO9003, Available from-to: 2019-01-01 - 2019-03-15
Offered Process: LaserBeamCutting, Offered Material: AlloySteel, Offered Machine: LaserCuttingMachine, Offered Capacity: 150, Certification: ISO9003, Available from-to: 2019-02-01 - 2019-04-15
5. Supplier Name: Jacobi-Walsh, Similarity Score: 0.84
Offered Process: Planing, Offered Material: GrayIron, Offered Machine: ShaperMachine, Offered Capacity: 50, Certification: ISO9002, Available from-to: 2019-02-15 - 2019-05-01
Offered Process: ElectricalDischargeMachining, Offered Material: LowCarbonSteel, Offered Machine: EDMMachine, Offered Capacity: 50, Certification: ISO9002, Available from-to: 2019-03-01 - 2019-05-15
Offered Process: Shaping, Offered Material: LowCarbonSteel, Offered Machine: ShaperMachine, Offered Capacity: 75, Certification: ISO9002, Available from-to: 2019-01-15 - 2019-04-01
Offered Process: LaserBeamCutting, Offered Material: Steel, Offered Machine: LaserCuttingMachine, Offered Capacity: 150, Certification: ISO9002, Available from-to: 2019-02-01 - 2019-04-15
Offered Process: Planing, Offered Material: Steel, Offered Machine: ShaperMachine, Offered Capacity: 100, Certification: ISO9002, Available from-to: 2019-03-01 - 2019-05-15
6. Supplier Name: Wunsch-Brekke, Similarity Score: 0.83
Offered Process: LaserBeamCutting, Offered Material: StainlessSteel_304, Offered Machine: LaserCuttingMachine, Offered Capacity: 150, Certification: QS9000, Available from-to: 2019-02-01 - 2019-04-15
7. Supplier Name: Schulist-Bernhard, Similarity Score: 0.7
Offered Process: VerticalMilling, Offered Material: AlloySteel, Offered Machine: VerticalMillingMachine, Offered Capacity: 75, Certification: ISO9001, Available from-to: 2019-01-01 - 2019-03-15
Offered Process: ManualMilling, Offered Material: StainlessSteel_316, Offered Machine: ManualMachineTool, Offered Capacity: 125, Certification: ISO9001, Available from-to: 2019-02-01 - 2019-04-15
8. Supplier Name: Sauer Group, Similarity Score: 0.7
Offered Process: ElectricalDischargeMachining, Offered Material: StainlessSteel, Offered Machine: EDMMachine, Offered Capacity: 150, Certification: ISO9000, Available from-to: 2019-02-01 - 2019-04-15
9. Supplier Name: Hermiston, Gibson and Williamson, Similarity Score: 0.69
Offered Process: Planing, Offered Material: MartensiticStainlessSteel, Offered Machine: ShaperMachine, Offered Capacity: 125, Certification: ISO9004, Available from-to: 2019-03-01 - 2019-05-15
Offered Process: Shaping, Offered Material: CompactedGraphiteIron, Offered Machine: ShaperMachine, Offered Capacity: 75, Certification: ISO9004, Available from-to: 2019-01-01 - 2019-03-15
Offered Process: Milling, Offered Material: StainlessSteel_304, Offered Machine: MillingMachine, Offered Capacity: 125, Certification: ISO9004, Available from-to: 2019-02-01 - 2019-04-15
Offered Process: Shaping, Offered Material: AusteniticStainlessSteel, Offered Machine: ShaperMachine, Offered Capacity: 150, Certification: ISO9004, Available from-to: 2019-01-01 - 2019-03-15
10. Supplier Name: Crooks-Spinka, Similarity Score: 0.69
Offered Process: VerticalMilling, Offered Material: StainlessSteel_316, Offered Machine: VerticalMillingMachine, Offered Capacity: 125, Certification: ISO9000, Available from-to: 2019-02-01 - 2019-04-15
Offered Process: CNCTurning, Offered Material: MartensiticStainlessSteel, Offered Machine: CNCTurnMachine, Offered Capacity: 50, Certification: ISO9000, Available from-to: 2019-02-01 - 2019-04-15
11. Supplier Name: Kshlerin-Haag, Similarity Score: 0.69
Offered Process: GearHobbing, Offered Material: HighCarbonSteel, Offered Machine: GearShaperMachine, Offered Capacity: 150, Certification: ISO9000, Available from-to: 2019-02-01 - 2019-04-15
Offered Process: VerticalMilling, Offered Material: StainlessSteel_304, Offered Machine: VerticalMillingMachine, Offered Capacity: 150, Certification: ISO9000, Available from-to: 2019-02-01 - 2019-04-15
12. Supplier Name: Schaden, Kautzer and Pouros, Similarity Score: 0.69
Offered Process: LaserBeamCutting, Offered Material: StainlessSteel_304, Offered Machine: LaserCuttingMachine, Offered Capacity: 125, Certification: ISO9002, Available from-to: 2019-02-15 - 2019-05-01
Offered Process: HorizontalMilling, Offered Material: LowCarbonSteel, Offered Machine: HorizontalMillingMachine, Offered Capacity: 125, Certification: ISO9002, Available from-to: 2019-02-01 - 2019-04-15
13. Supplier Name: Nienow-Baumbach, Similarity Score: 0.69
Offered Process: LaserBeamCutting, Offered Material: StainlessSteel_304, Offered Machine: LaserCuttingMachine, Offered Capacity: 150, Certification: ISO9002, Available from-to: 2019-01-15 - 2019-04-01
Offered Process: VerticalMilling, Offered Material: CompactedGraphiteIron, Offered Machine: VerticalMillingMachine, Offered Capacity: 125, Certification: ISO9002, Available from-to: 2019-03-01 - 2019-05-15
14. Supplier Name: O'Keefe Inc, Similarity Score: 0.69
Offered Process: CNCTurning, Offered Material: StainlessSteel_302, Offered Machine: CNCTurnMachine, Offered Capacity: 125, Certification: ISO9003, Available from-to: 2019-01-15 - 2019-04-01
